id,costo,descripcion
11914,25,against
11915,198,blood
11916,171,glass
11917,70,he
11918,168,almost
11919,105,kid
11920,194,table
11921,51,assume
11922,107,read
11923,89,public
11924,156,event
11925,50,however
11926,60,agent
11927,40,face
11928,160,church
11929,41,test
11930,56,available
11931,151,produce
11932,75,dark
11933,114,visit
11934,60,eye
11935,90,forget
11936,157,allow
11937,58,then
11938,39,garden
11939,152,hotel
11940,41,machine
11941,29,where
11942,143,behind
11943,69,dark
11944,146,front
11945,23,effect
11946,25,purpose
11947,105,approach
11948,165,down
11949,79,necessary
11950,191,Democrat
11951,108,explain
11952,25,girl
11953,196,financial
11954,122,stand
11955,161,coach
11956,110,factor
11957,70,open
11958,136,knowledge
11959,108,lay
11960,123,finally
11961,111,quality
11962,101,a
11963,177,agency
11964,172,cultural
11965,197,actually
11966,192,build
11967,191,structure
11968,134,moment
11969,33,expert
11970,47,chance
11971,81,senior
11972,161,industry
11973,181,now
11974,15,drive
11975,117,business
11976,161,image
11977,134,occur
11978,122,first
11979,132,owner
11980,68,security
11981,168,point
11982,67,task
11983,150,last
11984,23,make
11985,44,star
11986,23,it
11987,89,great
11988,46,onto
11989,36,take
11990,20,technology
11991,111,war
11992,13,rise
11993,125,health
11994,73,at
11995,60,agent
11996,198,animal
11997,21,rather
11998,154,position
11999,148,wife
12000,57,heart
12001,130,apply
12002,87,more
12003,50,choose
12004,163,true
12005,118,success
12006,160,trouble
12007,196,education
12008,40,sport
12009,140,travel
12010,143,similar
12011,123,one
12012,100,leave
12013,198,best
12014,102,rise
12015,44,better
12016,25,head
12017,52,sort
12018,73,first
12019,126,middle
12020,181,can
12021,164,Democrat
12022,158,lay
12023,53,quickly
12024,189,white
12025,137,eye
12026,142,away
12027,55,military
12028,141,game
12029,45,threat
12030,22,air
12031,27,decide
12032,73,maybe
12033,10,receive
12034,84,investment
12035,57,behavior
12036,43,candidate
12037,171,it
12038,191,get
12039,125,seat
12040,172,cell
12041,29,want
12042,57,few
12043,125,artist
12044,121,need
12045,16,force
12046,146,those
12047,51,lawyer
12048,178,usually
12049,148,church
12050,79,seem
12051,97,yet
12052,35,people
12053,197,business
12054,132,billion
12055,165,mean
12056,15,too
12057,26,staff
12058,140,yard
12059,22,put
12060,105,face
12061,164,seek
12062,29,time
12063,31,there
12064,197,eight
12065,16,kind
12066,186,which
12067,37,join
12068,197,realize
12069,69,evening
12070,183,note
12071,55,like
12072,151,begin
12073,28,table
12074,31,by
12075,75,best
12076,22,everything
12077,195,exactly
12078,63,need
12079,162,one
12080,77,trouble
12081,155,agreement
12082,187,so
12083,178,mind
12084,29,painting
12085,31,structure
12086,88,white
12087,141,effect
12088,14,war
12089,77,record
12090,162,be
12091,70,blood
12092,98,whom
12093,73,free
12094,145,have
12095,147,section
12096,113,admit
12097,111,fire
12098,24,land
12099,11,north
12100,98,science
12101,78,painting
12102,26,without
12103,116,truth
12104,177,wonder
12105,102,age
12106,86,nation
12107,181,decide
12108,191,wait
12109,157,way
12110,55,your
12111,18,those
12112,177,trade
12113,131,explain
12114,176,individual
12115,183,under
12116,196,store
12117,50,rest
12118,121,manage
12119,171,during
12120,191,couple
12121,115,also
12122,49,enter
12123,190,year
12124,40,tree
12125,192,production
12126,60,unit
12127,88,strategy
12128,146,glass
12129,169,firm
12130,53,draw
12131,48,same
12132,120,beat
12133,24,staff
12134,85,media
12135,86,level
12136,187,Republican
12137,119,answer
12138,154,ready
12139,104,newspaper
12140,141,my
12141,29,yet
12142,117,computer
12143,36,exactly
12144,117,early
12145,87,personal
12146,122,note
12147,175,meet
12148,20,no
12149,175,student
12150,125,itself
12151,145,that
12152,32,arrive
12153,96,firm
12154,18,arm
12155,49,other
12156,147,hear
12157,62,establish
12158,99,five
12159,10,father
12160,99,high
12161,39,enjoy
12162,77,family
12163,186,fall
12164,26,week
12165,99,its
12166,28,both
12167,186,life
12168,25,evidence
12169,113,knowledge
12170,99,first
12171,21,simply
12172,143,create
12173,138,author
12174,176,idea
12175,64,present
12176,65,factor
12177,161,figure
12178,126,begin
12179,44,again
12180,48,consumer
12181,42,loss
12182,145,seat
12183,38,former
12184,172,company
12185,157,forget
12186,77,mother
12187,102,true
12188,122,fill
12189,157,finally
12190,165,thank
12191,107,including
12192,142,tax
12193,119,western
12194,164,former
12195,134,study
12196,144,nature
12197,131,within
12198,53,administration
12199,100,two
12200,132,once
12201,117,design
12202,173,figure
12203,84,public
12204,119,simple
12205,151,west
12206,98,very
12207,53,husband
12208,172,maybe
12209,196,final
12210,15,our
12211,50,pressure
12212,68,phone
12213,51,reason
12214,118,prevent
12215,150,four
12216,10,past
12217,28,size
12218,94,need
12219,110,option
12220,151,choose
12221,47,charge
12222,137,second
12223,152,foreign
12224,60,moment
12225,74,culture
12226,58,tell
12227,144,Republican
12228,178,oil
12229,69,already
12230,117,section
12231,121,sense
12232,24,outside
12233,64,little
12234,23,final
12235,17,quickly
12236,127,also
12237,159,report
12238,157,indeed
12239,68,little
12240,122,station
12241,21,physical
12242,165,letter
12243,137,blood
12244,168,part
12245,27,player
12246,60,question
12247,136,listen
12248,167,name
12249,174,always
12250,179,continue
12251,14,truth
12252,158,step
12253,140,shoulder
12254,138,majority
12255,181,back
12256,102,it
12257,87,whose
12258,167,foot
12259,168,even
12260,28,food
12261,186,realize
12262,141,Democrat
12263,81,tax
12264,116,mouth
12265,200,radio
12266,124,sometimes
12267,166,likely
12268,164,notice
12269,127,here
12270,18,eat
12271,42,environment
12272,152,describe
12273,58,career
12274,152,end
12275,199,inside
12276,128,glass
12277,104,each
12278,98,forward
12279,137,even
12280,117,early
12281,92,these
12282,37,human
12283,67,follow
12284,43,best
12285,84,road
12286,40,American
12287,117,get
12288,60,collection
12289,185,drug
12290,95,myself
12291,128,begin
12292,193,note
12293,63,sea
12294,68,public
12295,48,mission
12296,183,about
12297,45,upon
12298,49,common
12299,32,treatment
12300,145,social
12301,37,forget
12302,165,water
12303,153,film
12304,127,fall
12305,54,head
12306,60,between
12307,169,exactly
12308,59,draw
12309,188,agent
12310,90,trip
12311,163,speech
12312,32,TV
12313,197,various
12314,108,effort
12315,66,board
12316,112,girl
12317,157,he
12318,54,pressure
12319,101,theory
12320,74,behavior
12321,39,outside
12322,128,country
12323,165,on
12324,83,just
12325,127,speak
12326,145,minute
12327,56,upon
12328,130,wall
12329,87,increase
12330,164,political
12331,173,per
12332,177,pull
12333,82,realize
12334,181,speak
12335,100,write
12336,159,manager
12337,79,claim
12338,111,evening
12339,40,bed
12340,149,popular
12341,97,answer
12342,194,report
12343,107,effect
12344,86,find
12345,66,both
12346,134,place
12347,91,best
12348,177,bag
12349,98,blood
12350,194,sport
12351,163,sure
12352,108,many
12353,28,area
12354,49,value
12355,22,road
12356,101,threat
12357,192,TV
12358,165,state
12359,129,old
12360,154,religious
12361,110,win
12362,54,painting
12363,64,there
12364,94,guess
12365,56,glass
12366,171,just
12367,54,close
12368,43,defense
12369,167,lose
12370,165,when
12371,194,small
12372,73,citizen
12373,165,tree
12374,100,defense
12375,40,occur
12376,173,have
12377,34,interest
12378,103,put
12379,167,industry
12380,12,cell
12381,164,huge
12382,181,never
12383,165,conference
12384,97,blood
12385,123,high
12386,108,edge
12387,146,six
12388,57,wall
12389,66,according
12390,32,right
12391,15,industry
12392,185,sign
12393,59,quite
12394,199,house
12395,187,none
12396,48,enter
12397,97,brother
12398,72,add
12399,92,customer
12400,144,past
12401,32,audience
12402,152,grow
12403,152,sister
12404,26,rise
12405,107,public
12406,189,type
12407,14,discover
12408,41,guess
12409,22,for
12410,49,ten
12411,99,manage
12412,155,individual
12413,33,wind
12414,66,lawyer
12415,116,red
12416,84,just
12417,189,reduce
12418,187,time
12419,160,right
12420,51,friend
12421,12,take
12422,158,respond
12423,135,authority
12424,121,population
12425,40,these
12426,138,member
12427,19,hold
12428,50,attack
12429,197,say
12430,104,along
12431,58,weight
12432,83,sell
12433,103,rich
12434,111,prove
12435,62,meet
12436,68,leave
12437,133,table
12438,110,box
12439,11,kind
12440,145,especially
12441,19,value
12442,98,reveal
12443,64,certainly
12444,65,near
12445,70,wrong
12446,26,fear
12447,181,paper
12448,90,art
12449,124,good
12450,15,better
12451,134,per
12452,64,city
12453,144,action
12454,111,attack
12455,62,be
12456,187,article
12457,172,remain
12458,70,enough
12459,111,manager
12460,25,nature
12461,154,market
12462,40,think
12463,165,cover
12464,15,wall
12465,32,education
12466,195,since
12467,88,send
12468,123,above
12469,115,democratic
12470,110,land
12471,57,candidate
12472,196,rock
12473,165,base
12474,74,account
12475,135,south
12476,153,dog
12477,15,TV
12478,95,view
12479,135,watch
12480,147,position
12481,95,instead
12482,176,city
12483,192,involve
12484,73,bank
12485,129,top
12486,18,big
12487,40,board
12488,151,receive
12489,119,time
12490,103,raise
12491,77,offer
12492,57,page
12493,153,whatever
12494,134,say
12495,171,than
12496,17,really
12497,191,old
12498,166,whom
12499,86,else
12500,34,growth
12501,175,fill
12502,90,machine
12503,42,stuff
12504,141,protect
12505,110,air
12506,148,now
12507,104,attorney
12508,41,bring
12509,108,apply
12510,179,against
12511,116,field
12512,137,else
12513,193,wonder
12514,62,prove
12515,109,organization
12516,182,whether
12517,38,your
12518,118,difference
12519,70,too
12520,113,group
12521,167,bar
12522,114,economic
12523,110,yes
12524,70,ten
12525,42,various
12526,22,mind
12527,143,him
12528,132,newspaper
12529,193,law
12530,39,would
12531,122,must
12532,177,scientist
12533,22,left
12534,152,apply
12535,16,itself
12536,33,fund
12537,139,wife
12538,88,six
12539,56,particular
12540,145,fly
12541,13,clearly
12542,35,type
12543,10,available
12544,118,help
12545,15,easy
12546,134,your
12547,119,whatever
12548,51,war
12549,186,without
12550,184,resource
12551,63,win
12552,86,whole
12553,25,soldier
12554,89,Mrs
12555,190,try
12556,100,hospital
12557,38,concern
12558,56,either
12559,36,language
12560,152,language
12561,149,focus
12562,61,piece
12563,96,every
12564,121,product
12565,50,teach
12566,143,marriage
12567,146,one
12568,166,go
12569,134,structure
12570,82,stuff
12571,113,care
12572,101,down
12573,77,suggest
12574,139,country
12575,155,each
12576,50,prove
12577,60,form
12578,65,push
12579,106,city
12580,179,perhaps
12581,23,everyone
12582,123,ground
12583,135,unit
12584,98,worker
12585,92,news
12586,152,wonder
12587,124,more
12588,26,year
12589,158,word
12590,177,technology
12591,188,way
12592,16,strong
12593,75,person
12594,125,stay
12595,23,dog
12596,111,hit
12597,47,a
12598,124,difference
12599,153,food
12600,170,yet
12601,120,plant
12602,27,data
12603,160,between
12604,80,president
12605,101,per
12606,105,itself
12607,40,other
12608,132,history
12609,179,understand
12610,170,ok
12611,88,exist
12612,124,cause
12613,97,feeling
12614,135,pick
12615,109,great
12616,115,leg
12617,65,north
12618,96,industry
12619,136,boy
12620,182,response
12621,198,box
12622,193,sort
12623,39,investment
12624,97,sometimes
12625,161,red
12626,154,dog
12627,152,establish
12628,10,remain
12629,113,yeah
12630,170,war
12631,172,him
12632,65,trip
12633,164,enter
12634,18,once
12635,57,Democrat
12636,165,minute
12637,38,shoulder
12638,107,read
12639,124,professor
12640,12,even
12641,69,word
12642,112,sing
12643,41,three
12644,177,create
12645,131,store
12646,10,become
12647,130,become
12648,174,human
12649,158,piece
12650,103,report
12651,71,local
12652,122,many
12653,10,cell
12654,41,hour
12655,20,worker
12656,131,improve
12657,47,management
12658,16,good
12659,136,administration
12660,65,produce
12661,193,represent
12662,24,surface
12663,78,impact
12664,152,watch
12665,91,feel
12666,133,simply
12667,88,fire
12668,94,sea
12669,141,enter
12670,29,meet
12671,91,that
12672,115,give
12673,25,relate
12674,38,move
12675,110,herself
12676,22,herself
12677,143,run
12678,28,team
12679,45,instead
12680,127,fire
12681,169,hospital
12682,58,risk
12683,46,minute
12684,26,assume
12685,94,enough
12686,133,group
12687,145,professor
12688,39,mention
12689,39,speech
12690,137,try
12691,160,doctor
12692,18,ok
12693,38,control
12694,158,team
12695,194,up
12696,104,record
12697,161,ahead
12698,22,try
12699,40,fear
12700,14,deep
12701,20,can
12702,155,rather
12703,180,might
12704,169,ball
12705,175,court
12706,18,must
12707,79,above
12708,186,factor
12709,192,everyone
12710,121,whose
12711,197,tend
12712,48,for
12713,89,century
12714,190,house
12715,69,western
12716,123,raise
12717,47,TV
12718,69,mother
12719,92,everyone
12720,73,lose
12721,140,important
12722,189,many
12723,156,thought
12724,141,gas
12725,129,dream
12726,174,consumer
12727,112,rest
12728,173,how
12729,153,wonder
12730,40,allow
12731,117,hard
12732,191,because
12733,16,recent
12734,81,why
12735,180,sure
12736,146,discover
12737,177,game
12738,81,despite
12739,185,worker
12740,113,beautiful
12741,100,write
12742,33,writer
12743,172,focus
12744,89,nice
12745,71,power
12746,80,family
12747,13,everyone
12748,174,three
12749,119,little
12750,79,to
12751,18,chair
12752,169,account
12753,161,nature
12754,135,effect
12755,78,however
12756,119,small
12757,34,real
12758,142,laugh
12759,145,president
12760,75,meet
12761,69,than
12762,21,stay
12763,20,job
12764,161,try
12765,87,worry
12766,37,as
12767,109,treatment
12768,140,budget
12769,136,study
12770,178,certain
12771,183,on
12772,89,son
12773,28,between
12774,163,until
12775,166,speak
12776,188,listen
12777,75,stage
12778,82,street
12779,145,action
12780,49,break
12781,26,southern
12782,75,ability
12783,187,true
12784,103,outside
12785,83,account
12786,104,ask
12787,71,against
12788,35,to
12789,17,direction
12790,59,piece
12791,118,try
12792,32,language
12793,198,bag
12794,134,discussion
12795,78,peace
12796,101,ready
12797,67,store
12798,102,case
12799,96,show
12800,197,Mrs
12801,85,rise
12802,91,fact
12803,102,show
12804,40,office
12805,79,grow
12806,51,join
12807,154,reduce
12808,68,against
12809,194,west
12810,127,effort
12811,11,recent
12812,107,how
12813,174,poor
12814,159,evidence
12815,150,certainly
12816,110,long
12817,178,half
12818,154,ball
12819,17,identify
12820,80,whatever
12821,40,per
12822,170,develop
12823,44,too
12824,155,call
12825,31,include
12826,35,rule
12827,45,last
12828,199,course
12829,140,purpose
12830,161,instead
12831,179,matter
12832,57,step
12833,150,sometimes
12834,125,job
12835,155,prepare
12836,63,enter
12837,40,turn
12838,105,sometimes
12839,28,simply
12840,187,attorney
12841,71,life
12842,65,miss
12843,187,while
12844,37,important
12845,185,if
12846,96,officer
12847,149,subject
12848,120,draw
12849,94,deep
12850,18,floor
12851,47,under
12852,136,rather
12853,78,special
12854,44,who
12855,58,fear
12856,48,many
12857,17,test
12858,144,draw
12859,153,hour
12860,63,debate
12861,134,smile
12862,165,assume
12863,174,big
12864,177,key
12865,66,my
12866,132,to
12867,100,draw
12868,81,stage
12869,151,subject
12870,77,light
12871,67,she
12872,157,cost
12873,58,work
12874,118,response
12875,145,recently
12876,197,happy
12877,20,question
12878,15,company
12879,154,oil
12880,56,wonder
12881,35,season
12882,198,college
12883,47,base
12884,24,hour
12885,174,course
12886,36,practice
12887,182,president
12888,125,future
12889,151,son
12890,42,many
12891,112,break
12892,32,wind
12893,121,author
12894,84,shake
12895,29,ten
12896,182,pressure
12897,107,buy
12898,151,really
12899,17,air
12900,49,there
12901,36,apply
12902,65,rule
12903,119,speech
12904,112,maybe
12905,59,mother
12906,150,someone
12907,69,tree
12908,32,language
12909,16,throw
12910,196,idea
12911,95,mention
12912,27,marriage
12913,30,base
12914,62,read
12915,170,hair
12916,181,although
12917,33,unit
12918,179,wonder
12919,98,agent
12920,191,push
12921,59,sound
12922,104,method
12923,80,standard
12924,135,everything
12925,147,decision
12926,59,movie
12927,124,among
12928,72,anything
12929,199,commercial
12930,77,amount
12931,52,friend
12932,22,property
12933,103,reality
12934,58,always
12935,102,paper
12936,182,hand
12937,185,apply
12938,199,reveal
12939,30,ball
12940,15,decade
12941,18,better
12942,180,current
12943,159,although
12944,199,manager
12945,133,ahead
12946,29,performance
12947,118,perhaps
12948,109,today
12949,57,cut
12950,168,technology
12951,150,management
12952,177,little
12953,137,opportunity
12954,72,nor
12955,93,billion
12956,108,where
12957,65,bed
12958,82,beyond
12959,114,investment
12960,135,father
12961,188,second
12962,90,evening
12963,125,list
12964,144,security
12965,43,story
12966,124,energy
12967,71,nothing
12968,51,stand
12969,173,standard
12970,158,big
12971,66,condition
12972,86,space
12973,50,green
12974,60,place
12975,21,range
12976,46,charge
12977,15,recent
12978,49,hot
12979,39,church
12980,29,include
12981,170,avoid
12982,168,me
12983,123,down
12984,93,both
12985,63,create
12986,61,political
12987,83,responsibility
12988,82,Mrs
12989,181,tend
12990,49,leader
12991,189,opportunity
12992,150,really
12993,144,despite
12994,51,its
12995,184,Democrat
12996,35,environment
12997,138,amount
12998,61,per
12999,97,decide
13000,198,challenge
13001,116,long
13002,128,possible
13003,107,season
13004,28,foot
13005,60,near
13006,123,car
13007,155,town
13008,177,section
13009,169,stuff
13010,94,role
13011,41,business
13012,167,usually
13013,144,sing
13014,16,ten
13015,173,agent
13016,102,firm
13017,14,about
13018,175,science
13019,49,country
13020,40,similar
13021,170,artist
13022,182,evidence
13023,76,drop
13024,85,concern
13025,77,result
13026,55,positive
13027,17,improve
13028,142,social
13029,72,half
13030,115,kid
13031,117,none
13032,79,teacher
13033,125,hard
13034,39,bed
13035,143,late
13036,160,expect
13037,178,child
13038,13,show
13039,139,fire
13040,53,later
13041,182,sense
13042,19,appear
13043,110,area
13044,84,southern
13045,120,important
13046,102,must
13047,67,work
13048,131,effort
13049,197,ability
13050,148,identify
13051,193,police
13052,169,staff
13053,192,himself
13054,197,describe
13055,196,hard
13056,51,give
13057,75,realize
13058,102,part
13059,114,big
13060,168,color
13061,109,appear
13062,183,difference
13063,108,example
13064,29,then
13065,61,even
13066,100,no
13067,99,under
13068,108,girl
13069,110,test
13070,53,front
13071,150,party
13072,17,difficult
13073,177,paper
13074,25,beautiful
13075,125,concern
13076,103,role
13077,186,whatever
13078,122,until
13079,51,lawyer
13080,185,line
13081,41,for
13082,70,health
13083,171,feeling
13084,123,father
13085,125,small
13086,162,hair
13087,88,light
13088,51,upon
13089,29,kind
13090,148,sing
13091,172,day
13092,175,PM
13093,23,free
13094,118,seven
13095,16,so
13096,115,door
13097,142,trip
13098,10,economic
13099,186,to
13100,130,fill
13101,61,one
13102,146,rate
13103,156,discover
13104,38,almost
13105,59,attorney
13106,171,scientist
13107,180,specific
13108,171,out
13109,180,prepare
13110,33,some
13111,145,knowledge
13112,162,claim
13113,162,food
13114,18,wide
13115,16,suffer
13116,27,many
13117,97,card
13118,117,now
13119,138,drug
13120,99,represent
13121,79,green
13122,185,challenge
13123,80,play
13124,199,myself
13125,73,at
13126,21,situation
13127,149,author
13128,110,draw
13129,31,recent
13130,146,work
13131,51,dark
13132,195,agent
13133,108,toward
13134,145,he
13135,75,young
13136,28,either
13137,43,natural
13138,62,condition
13139,71,yeah
13140,186,before
13141,153,local
13142,124,kid
13143,76,ever
13144,184,style
13145,22,unit
13146,13,probably
13147,157,former
13148,193,second
13149,54,school
13150,14,life
13151,127,office
13152,82,increase
13153,87,detail
13154,103,expect
13155,63,subject
13156,125,final
13157,74,I
13158,139,machine
13159,113,way
13160,12,account
13161,175,south
13162,48,however
13163,58,major
13164,168,thing
13165,177,seem
13166,59,account
13167,44,think
13168,27,now
13169,86,full
13170,42,risk
13171,36,training
13172,165,theory
13173,69,throw
13174,132,act
13175,112,operation
13176,32,despite
13177,50,behavior
13178,89,office
13179,46,other
13180,149,up
13181,113,education
13182,180,newspaper
13183,184,man
13184,90,drive
13185,159,there
13186,45,court
13187,141,education
13188,22,lot
13189,50,expect
13190,170,perhaps
13191,125,laugh
13192,78,computer
13193,34,thought
13194,76,trip
13195,60,capital
13196,117,carry
13197,26,item
13198,104,area
13199,186,true
13200,102,project
13201,109,week
13202,82,employee
13203,60,sometimes
13204,94,protect
13205,176,hot
13206,124,development
13207,19,information
13208,131,social
13209,102,learn
13210,175,benefit
13211,154,easy
13212,192,happy
13213,97,husband
13214,117,woman
13215,146,among
13216,53,allow
13217,157,city
13218,140,them
13219,115,member
13220,96,community
13221,54,hope
13222,144,Mr
13223,134,fact
13224,169,key
13225,52,keep
13226,184,ahead
13227,196,wrong
13228,77,yet
13229,118,cell
13230,69,phone
13231,178,she
13232,112,fight
13233,14,trial
13234,189,none
13235,191,speech
13236,178,attention
13237,18,though
13238,39,majority
13239,187,position
13240,183,rich
13241,81,down
13242,75,stuff
13243,78,plan
13244,128,maybe
13245,153,old
13246,29,clear
13247,100,natural
13248,38,ground
13249,99,sister
13250,128,resource
13251,89,leg
13252,183,former
13253,88,thank
13254,113,almost
13255,71,alone
13256,36,scientist
13257,98,soon
13258,127,there
13259,119,PM
13260,105,floor
13261,163,job
13262,120,use
13263,12,throw
13264,198,painting
13265,29,I
13266,145,understand
13267,154,whether
13268,133,effect
13269,199,writer
13270,111,high
13271,124,major
13272,100,relate
13273,84,think
13274,100,growth
13275,186,attack
13276,121,fact
13277,73,too
13278,123,left
13279,48,age
13280,141,politics
13281,163,participant
13282,94,number
13283,79,oil
13284,163,audience
13285,14,player
13286,108,particular
13287,58,meeting
13288,36,half
13289,171,store
13290,32,company
13291,58,theory
13292,69,animal
13293,187,half
13294,38,special
13295,134,else
13296,153,hotel
13297,83,technology
13298,112,light
13299,175,result
13300,189,deep
13301,98,guess
13302,86,rather
13303,167,ago
13304,174,knowledge
13305,108,present
13306,16,for
13307,54,may
13308,111,avoid
13309,95,third
13310,125,phone
13311,120,event
13312,44,letter
13313,133,girl
13314,134,data
13315,16,agreement
13316,56,heart
13317,97,many
13318,86,anything
13319,172,imagine
13320,166,senior
13321,97,over
13322,93,past
13323,23,raise
13324,67,tree
13325,125,can
13326,120,decision
13327,45,call
13328,16,include
13329,162,fall
13330,52,large
13331,21,soon
13332,115,ahead
13333,174,everyone
13334,43,area
13335,68,through
13336,14,consider
13337,94,quickly
13338,162,finish
13339,170,figure
13340,12,people
13341,147,hundred
13342,179,four
13343,126,exactly
13344,10,yeah
13345,78,lot
13346,123,reflect
13347,127,career
13348,64,affect
13349,196,grow
13350,150,also
13351,97,power
13352,121,popular
13353,187,particular
13354,52,plan
13355,84,political
13356,35,forward
13357,131,cut
13358,105,notice
13359,198,or
13360,28,nor
13361,38,himself
13362,196,writer
13363,39,professor
13364,189,upon
13365,84,across
13366,117,cost
13367,169,research
13368,110,everyone
13369,34,firm
13370,23,certain
13371,54,test
13372,31,factor
13373,60,administration
13374,20,speech
13375,96,year
13376,89,student
13377,28,even
13378,56,college
13379,145,opportunity
13380,52,again
13381,149,set
13382,194,rule
13383,170,member
13384,85,behavior
13385,198,staff
13386,45,remain
13387,140,box
13388,78,yet
13389,186,study
13390,92,offer
13391,153,care
13392,72,character
13393,52,program
13394,179,thank
13395,173,indeed
13396,197,local
13397,70,hand
13398,18,character
13399,16,positive
13400,163,certainly
13401,89,race
13402,124,although
13403,191,training
13404,151,list
13405,10,to
13406,43,stand
13407,73,seven
13408,168,lose
13409,91,memory
13410,127,can
13411,104,growth
13412,159,away
13413,97,unit
13414,183,role
13415,169,market
13416,190,camera
13417,99,follow
13418,73,beyond
13419,22,my
13420,129,increase
13421,169,beyond
13422,48,treatment
13423,185,central
13424,31,food
13425,43,turn
13426,105,in
13427,143,protect
13428,86,always
13429,154,section
13430,195,decade
13431,111,draw
13432,199,indicate
13433,128,measure
13434,138,talk
13435,84,above
13436,187,by
13437,15,officer
13438,19,would
13439,170,would
13440,74,forget
13441,120,decision
13442,186,mean
13443,160,call
13444,105,miss
13445,176,lose
13446,151,court
13447,133,feeling
13448,168,least
13449,138,wife
13450,151,near
13451,83,new
13452,89,appear
13453,46,certainly
13454,17,population
13455,148,well
13456,76,wonder
13457,120,life
13458,80,measure
13459,36,idea
13460,145,friend
13461,110,next
13462,139,management
13463,56,TV
13464,140,four
13465,106,pay
13466,11,real
13467,136,south
13468,193,give
13469,11,student
13470,128,join
13471,82,spring
13472,46,where
13473,159,from
13474,73,last
13475,117,step
13476,71,property
13477,149,management
13478,81,phone
13479,35,indeed
13480,32,popular
13481,184,people
13482,194,stage
13483,50,lose
13484,165,he
13485,33,read
13486,12,others
13487,147,make
13488,122,his
13489,93,case
13490,184,protect
13491,22,pattern
13492,93,hour
13493,26,whose
13494,32,occur
13495,130,once
13496,111,sense
13497,171,tonight
13498,198,around
13499,77,none
13500,104,among
13501,68,candidate
13502,68,decision
13503,188,figure
13504,142,positive
13505,110,kitchen
13506,68,generation
13507,55,arrive
13508,156,firm
13509,16,size
13510,31,performance
13511,101,west
13512,132,keep
13513,43,all
13514,36,music
13515,24,expect
13516,104,human
13517,19,structure
13518,86,than
13519,196,appear
13520,53,gun
13521,51,gun
13522,115,small
13523,81,throw
13524,120,government
13525,14,listen
13526,138,put
13527,140,turn
13528,142,situation
13529,165,chance
13530,70,cultural
13531,153,fire
13532,144,simply
13533,36,for
13534,108,natural
13535,145,view
13536,29,grow
13537,140,central
13538,102,stand
13539,114,nor
13540,54,democratic
13541,117,moment
13542,194,push
13543,193,hot
13544,14,ago
13545,123,ok
13546,169,study
13547,113,option
13548,189,activity
13549,41,smile
13550,55,beautiful
13551,58,remain
13552,28,risk
13553,110,decade
13554,51,after
13555,101,admit
13556,118,various
13557,199,operation
13558,147,huge
13559,100,sea
13560,90,operation
13561,148,thought
13562,40,listen
13563,24,fly
13564,129,direction
13565,188,miss
13566,94,television
13567,19,girl
13568,199,center
13569,144,example
13570,191,center
13571,21,fast
13572,131,large
13573,56,federal
13574,51,organization
13575,104,fine
13576,70,either
13577,83,beyond
13578,73,firm
13579,23,run
13580,139,response
13581,111,sister
13582,22,live
13583,138,director
13584,152,chair
13585,13,after
13586,110,artist
13587,177,work
13588,111,unit
13589,48,board
13590,78,miss
13591,135,place
13592,139,use
13593,14,money
13594,62,cultural
13595,73,explain
13596,132,share
13597,134,recently
13598,80,step
13599,194,carry
13600,39,avoid
13601,36,shake
13602,98,technology
13603,155,else
13604,125,good
13605,94,war
13606,56,lose
13607,85,situation
13608,44,family
13609,169,others
13610,67,wrong
13611,18,Democrat
13612,183,health
13613,101,claim
13614,195,language
13615,40,my
13616,140,oil
13617,106,none
13618,45,past
13619,47,treat
13620,134,enough
13621,32,space
13622,70,do
13623,107,short
13624,43,arrive
13625,153,or
13626,52,exist
13627,61,not
13628,31,particular
13629,21,bit
13630,89,official
13631,192,identify
13632,153,somebody
13633,72,now
13634,140,bit
13635,199,later
13636,190,two
13637,35,yeah
13638,12,practice
13639,104,rock
13640,99,two
13641,193,worry
13642,76,tell
13643,140,guy
13644,110,owner
13645,63,pass
13646,95,him
13647,148,tree
13648,53,line
13649,72,type
13650,112,summer
13651,125,once
13652,125,to
13653,36,follow
13654,103,organization
13655,62,travel
13656,27,whatever
13657,87,art
13658,179,ahead
13659,131,see
13660,168,increase
13661,157,law
13662,151,board
13663,117,degree
13664,131,surface
13665,81,always
13666,31,somebody
13667,18,owner
13668,102,technology
13669,64,up
13670,108,speech
13671,125,start
13672,43,give
13673,22,family
13674,122,its
13675,179,modern
13676,138,my
13677,56,apply
13678,84,oil
13679,162,body
13680,15,from
13681,163,bring
13682,153,home
13683,32,firm
13684,17,far
13685,87,thank
13686,54,south
13687,147,become
13688,183,middle
13689,153,soldier
13690,158,service
13691,103,wall
13692,25,cost
13693,78,community
13694,84,pattern
13695,162,executive
13696,54,top
13697,33,throughout
13698,68,rest
13699,157,reflect
13700,52,pass
13701,121,pass
13702,60,sense
13703,42,trial
13704,18,box
13705,86,likely
13706,135,opportunity
13707,151,lose
13708,176,central
13709,68,tax
13710,179,into
13711,25,enough
13712,40,effort
13713,98,course
13714,10,easy
13715,191,year
13716,155,magazine
13717,20,which
13718,106,outside
13719,110,particular
13720,164,line
13721,158,teach
13722,76,now
13723,62,culture
13724,53,customer
13725,171,candidate
13726,61,coach
13727,38,act
13728,79,hotel
13729,98,ago
13730,16,push
13731,91,doctor
13732,10,operation
